country,iata,publicName,city,latitude,longitude
USA,OIC,"Eaton, NY",Norwich,42.983333,-80.6
USA,OIL,"Splane Memorial, PA",Oil City,41.434444,-79.830833
Japan,OIM,Oshima,,34.783333,139.366667
Japan,OIR,Okushiri,,42.166667,139.516667
Japan,OIT,OITA,Oita,33.25,131.633333
USA,OJC,Johnson County Executi,Kansas City,38.85,-94.733333
Japan,OKA,Okinawa,Okinawa,26.333333,127.833333
Australia,OKB,"Fraser Island, QL",Orchid Beach,-25.0,153.283333
USA,OKC,Oklahoma City,Oklahoma City,35.393056,-97.600833
Japan,OKD,Okadama,Sapporo,43.133333,141.383333
Japan,OKE,Okino Erabu,,27.433333,128.616667
Namibia,OKF,Okaukuejo,,-19.166667,15.933333
Congo (the),OKG,Okoyo,,-1.466667,15.066667
United Kingdom of Great Britain and Northern Ireland,OKH,Cottesmore,Cottesmore,52.666667,-0.733333
Japan,OKI,Oki Island,,36.166667,133.316667
Japan,OKJ,OKAYAMA,Okayama,34.583333,133.933333
USA,OKK,"Kokomo, IN",,40.533333,-86.066667
Indonesia,OKL,Oksibil,,-3.683333,137.483333
USA,OKM,"Okmulgee, OK",,35.616667,-95.966667
Gabon,OKN,Okondja,,-0.7,13.783333
Japan,OKO,Yokota AFB,Tokyo,35.748611,139.348611
Papua New Guin,OKP,Oksapmin,,-5.466667,141.566667
Indonesia,OKQ,Okaba,,-8.1,139.7
Australia,OKR,"Yorke Island, QL",,-9.733333,143.416667
USA,OKS,"Garden County, NE",Oshkosh,41.4,-102.333333
Russia (CIS),OKT,Oktyabrsky,,54.433333,53.383333
Namibia,OKU,Mokuti Lodge,,-18.808333,17.05
Australia,OKY,"Oakey, QL",,-27.402778,151.733333
Norway,OLA,Orland,Orland,63.7,9.616667
Italy,OLB,Olbia Italy,Olbia,40.898611,9.5175
USA,OLD,"De Witt Field Municipal,",Old Town,44.95,-68.666667
USA,OLE,"Municipal, NY",Olean,42.233333,-78.366667
USA,OLF,"Municipal, MT",Wolf Point,48.083333,-105.566667
USA,OLH,"SPB, AK",Old Harbour,57.2,-153.316667
Iceland,OLI,Rif,Olafsvik,64.911389,-23.823056
Vanuatu,OLJ,Lajmoli,Olpoi,-14.883333,166.55
USA,OLM,"Olympia, WA",,46.966667,-122.9
Argentina,OLN,"Colonia Sarmiento, CB",,-45.583333,-69.0
Czech Republic,OLO,Olomouc,Olomouc,49.416667,17.341667
Australia,OLP,"Olympic Dam, SA",,-30.485,136.876667
Papua New Guin,OLQ,Olsobip,,-5.383333,141.5
USA,OLS,"Int'l, AZ",Nogales,31.333333,-110.933333
USA,OLU,"Municipal, NE",Columbus,41.448056,-97.342778
USA,OLV,"Olive Branch, MS",,34.966667,-89.833333
USA,OLY,"Olney, IL",,38.716667,-88.083333
USA,OMA,Omaha,Omaha,41.3,-95.9
Gabon,OMB,Hospital,Omboue,-1.6,9.266667
Philippines,OMC,"Ormoc, LE",,11.05,124.566667
Namibia,OMD,Oranjemund,,-28.583333,16.45
USA,OME,"Nome, AK",,64.516667,-165.433333
Jordan,OMF,King Hussein AFB,Mafraq,32.333333,36.233333
Namibia,OMG,Omega,,-18.0,22.066667
Iran,OMH,Uromiyeh,Uromiyeh,37.668056,45.068611
Japan,OMJ,Omura,,35.083333,140.1
USA,OMK,"Municipal, WA",Omak,48.4,-119.533333
Papua New Guin,OML,Omkalai,,-6.183333,144.966667
Oman,OMM,Nasir,Marmul,18.133333,55.266667
India,OMN,Osmanabad,,18.15,76.1
Bosnia Herzegovina,OMO,Mostar,Mostar,43.286667,17.85
Romania,OMR,ORADEA,Oradea,47.016667,21.9
Russia (CIS),OMS,Omsk,,54.966667,73.3
Kampuchea,OMY,Oddor Meanche,,13.816667,104.966667
USA,ONA,"Municipal, MN",Winona,50.3,-1.333333
Papua New Guin,ONB,Ononge,,-8.583333,147.2
Namibia,OND,Ondangwa,,-17.878333,15.9525
Solomon Island,ONE,Onepusahu,,-9.166667,161.066667
Australia,ONG,"Mornington Island, QL",,-16.583333,139.3
USA,ONH,"Municipal, NY",Oneonta,42.45,-75.116667
Indonesia,ONI,Moanamani,,-3.983333,136.083333
Japan,ONJ,Odate Noshiro,,40.3,140.55
USA,ONL,"Municipal, NE",O' Neill,42.45,-98.65
USA,ONM,"Socorro, NM",,34.05,-106.883333
USA,ONN,"Onion Bay, AK",,58.233333,-152.833333
USA,ONO,"Ontario, OR",,44.020556,-117.013611
USA,ONP,"Newport, OR",,44.583333,-124.05
Türkiye,ONQ,Zonguldak,,41.25,31.833333
Australia,ONR,"Monkira, QL",,-24.816667,140.533333
Australia,ONS,"Onslow, WA",,-21.666667,115.1
USA,ONT,Ontario,Ontario,34.056111,-117.601111
Fiji,ONU,On-I-Lau,,-20.65,-178.7
Panama,ONX,Enrique A. Jimenex,Colon,9.356667,-79.8675
USA,ONY,"Olney, TX",,33.366667,-98.75
USA,OOA,"Municipal, IA",Oskaloosa,41.283333,-92.633333
USA,OOK,"Toksook Bay, AK",,,
Australia,OOL,Gold Coast,Gold Coast,-28.181111,153.5
Australia,OOM,"Cooma, NS",,-36.3,148.966667
Australia,OOR,"Mooraberree, QL",,-25.245,140.980833
Kiribati,OOT,Onotoa,,-1.866667,175.566667
Iceland,OPA,Kopasker,,66.416667,-16.483333
Papua New Guin,OPB,Open Bay,,-4.933333,151.666667
USA,OPF,"Opa Locka,",Miami,25.906944,-80.278333
Australia,OPI,"Oenpelli, NT",,-12.333333,133.083333
USA,OPL,"St Landry Parish, LA",Opelousas,30.55,-92.1
Portugal,OPO,Oporto,Oporto,41.248056,-8.681389
Brazil,OPS,"Sinop, MT",,-12.084722,-55.633889
Papua New Guin,OPU,Balimo,,-8.033333,142.933333
Namibia,OPW,Opuwa,,-18.066667,13.833333
USA,OQU,North Kingston,North Kingston,,
Argentina,ORA,"Oran, SA",,-23.15,-64.316667
Sweden,ORB,Orebro,Orebro,59.25,15.233333
Colombia,ORC,"Orocue, CS",,4.792222,-71.356389
USA,ORD,Chicago,Chicago,41.978611,-87.904722
France,ORE,Orleans,Orleans,47.916667,1.9
USA,ORF,Norfolk,Norfolk,36.9,-76.2
Surinam,ORG,Zorg en Hoop,Paramaribo,5.491667,-55.183333
USA,ORH,Worcester,Worcester,42.267222,-71.875833
USA,ORI,"Port Lions, AK",,57.883333,-152.85
Guyana,ORJ,Orinduik,,4.716667,-60.033333
Ireland,ORK,Cork,Cork,51.847222,-8.497222
USA,ORL,Orlando Executive,Orlando,28.533333,-81.35
United Kingdom of Great Britain and Northern Ireland,ORM,Northampton,Northampton,52.3,-0.783333
Algeria,ORN,Oran,Oran,35.616667,-0.616667
Honduras,ORO,Yoro,,15.125,-87.141667
Botswana,ORP,Orapa,,-21.133333,25.65
USA,ORQ,"Heliport, CT",Norwalk,41.116667,-73.45
Australia,ORR,"Yorketown, SA",,-35.033333,137.6
Australia,ORS,"Waterport, Q",Orpheus Island Resor,-18.633333,146.483333
USA,ORT,"Northway, AK",,62.95,-141.95
Bolivia,ORU,Oruro,,-17.95,-67.1
USA,ORV,"Curtis Memorial, AK",Noorvik,66.833333,-161.033333
Pakistan,ORW,Ormara,,25.274722,64.585833
Brazil,ORX,"Trombetas, PA",Oriximina,-1.666667,-55.833333
France,ORY,Paris Orly,Paris,48.716667,2.383333
Belize,ORZ,Orange Walk,,18.066667,-88.558333
USA,OSB,"Osage Beach, MO",,38.15,-92.616667
USA,OSC,WURTHSMITH,OSCODA,44.433333,-83.333333
Sweden,OSD,Ostersund,Ostersund,63.183333,14.5
Papua New Guin,OSE,Omora,,-7.833333,147.083333
Russia,OSF,Ostafyevo International Apt,Moscow,,
Papua New Guin,OSG,Ossima,,-2.916667,141.3
USA,OSH,Oshkosh,Oshkosh,43.983333,-88.55
Croatia,OSI,Osijek,Osijek,45.446111,18.810278
Sweden,OSK,Oskarshamn,Oskarshamn,57.351944,16.498333
Norway,OSL,Oslo,Oslo,60.193889,11.100278
Iraq,OSM,Mosul,,36.305833,43.1475
Korea (South),OSN,Ab,Osan,37.090556,127.029444
Poland,OSP,Redzikowo,Slupsk,54.466667,17.016667
Czech Republic,OSR,Ostrava,Ostrava,49.696111,18.110833
Kyrgystan,OSS,Osh,Osh,40.608889,72.793333
Belgium,OST,Ostende,Ostend,51.2,2.866667
USA,OSU,"Ohio State University, OH",Columbus,40.066667,-83.066667
USA,OSX,"Attala County, MS",Kosciusko,33.083333,-89.55
Norway,OSY,Namsos,,64.466667,11.6
Poland,OSZ,Koszalin,Koszalin,54.25,16.25
Ethiopia,OTA,Motta,,11.066667,37.883333
Chad,OTC,Bol,,13.433333,14.733333
Panama,OTD,Contadora,,8.666667,-79.583333
USA,OTG,"Municipal, MN",Worthington,43.65,-95.583333
USA,OTH,"Municipal, OR",North Bend,43.416667,-124.25
Indonesia,OTI,Pitu,Morotai,2.046111,128.324722
Namibia,OTJ,Otjiwarongo,,-21.733333,18.25
Mauritania,OTL,Boutilimit,,17.533333,-14.716667
USA,OTM,"Industrial, IA",Ottumwa,41.1,-92.45
USA,OTN,"Green, IN",Oaktown,38.866667,-87.433333
USA,OTO,"Vor, NM",Otto,35.072222,-105.935556
Romania,OTP,Bucharest,Bucharest,44.580556,26.088889
Costa Rica,OTR,Coto 47,,8.566667,-82.933333
USA,OTS,"Anacortes, WA",,48.5,-122.616667
Colombia,OTU,"Otu, AN",,6.983333,-74.716667
Papua New Guin,OTY,Oria,,-6.583333,155.683333
USA,OTZ,"Ralph Wien Memorial, AK",Kotzebue,66.866667,-162.633333
Burkina Faso,OUA,Ouagadougou,Ouagadougou,12.35,-1.516667
Morocco,OUD,Oujda,Oujda,34.683333,-1.75
Congo (the),OUE,Ouesso,,1.533333,16.05
Burkina Faso,OUG,Ouahigouya,,13.566667,-2.433333
South Africa,OUH,Oudtshoorn,,-33.6025,22.188333
Laos,OUI,Ban Houei,,20.25,100.433333
United Kingdom of Great Britain and Northern Ireland,OUK,Outer Skerries,,,
Finland,OUL,Oulu,Oulu,64.933333,25.366667
Chad,OUM,Oum Hadjer,,13.266667,19.716667
USA,OUN,"Max Westheimer, OK",Norman,35.158333,-97.466667
Cameroon,OUR,Batouri,,4.470833,14.356944
Brazil,OUS,"Ourinhos, SP",,-22.983333,-49.866667
Chad,OUT,Bousso,,10.483333,16.716667
Gabon,OUU,Ouanga,,-2.983333,10.3
Mauritania,OUZ,Zoueratt,,22.7,-12.5
Madagascar,OVA,Bekily,,-24.233333,45.3
Russia,OVB,Novosibirsk,Novosibirsk,55.033333,83.0
Spain,OVD,Asturias,Asturias,43.333333,-6.0
USA,OVE,"Oroville, CA",,39.483333,-121.633333
Chile,OVL,Ovalle Tuqui,,-30.4,-71.2
USA,OWA,"Owatonna, MN",,44.116667,-93.25
USA,OWB,"Davies County, KY",Owensboro,37.75,-87.166667
USA,OWD,"Memorial, MA",Norwood,42.183333,-71.183333
Gabon,OWE,Owendo,,0.283333,9.5
USA,OWK,"Central Maine, ME",Norridgewock,44.716667,-69.8
Guinea Bissau,OXB,Bissau,Bissau,11.894722,-15.653611
USA,OXC,"Waterbury-Oxford, CT",Oxford,41.478611,-73.135278
USA,OXD,"Miami University, OH",Oxford,45.733333,-63.866667
United Kingdom of Great Britain and Northern Ireland,OXF,London Oxford,Oxford,51.833333,-1.25
Australia,OXO,"Orientos, QL",,-28.133333,141.533333
USA,OXR,"Oxnard-Ventura, CA",,34.2,-119.2
Australia,OXY,"Morney, QL",,-25.366667,141.466667
Argentina,OYA,"Goya, CR",,-29.1,-59.25
Gabon,OYE,Oyem,,1.566667,11.583333
Uganda,OYG,Moyo,,3.65,31.716667
Brazil,OYK,"Oiapoque, AP",,3.866667,-51.8
Kenya,OYL,Moyale,,3.533333,39.05
Australia,OYN,"Ouyen, VI",,-32.066667,142.333333
Argentina,OYO,"Tres Arroyos, BA",,,
French Guyana,OYP,Saint-Georges-de-l'Oyapock,,3.9,-51.8
USA,OYS,"Yosemite National Park, CA",,37.85,-119.55
USA,OZA,"Ozona, TX",,30.735278,-101.202778
Philippines,OZC,"Ozamis, MT",,8.166667,123.75
Ukraine,OZH,Zaporizhia Int'l,Zaporizhia,47.8675,35.315833
Spain,OZP,Moron,Sevilla,13.816667,-88.716667
USA,OZR,"Cairns AAF, AL",Ozark,53.116667,22.45
Morocco,OZZ,Ouarzazate,Ouarzazate,30.916667,-6.916667
Myanmar,PAA,Pa-An,,16.883333,97.666667
India,PAB,Bilaspur,,22.5,82.166667
Panama,PAC,Paitilla-Marcos,Panama City-Balboa,8.973333,-79.555556
Germany,PAD,Paderborn,Paderborn,51.716667,8.75
USA,PAE,Everett,Everett,47.919444,-122.283611
Uganda,PAF,Pakuba,,2.2,31.616667
Philippines,PAG,"Pagadian, ZS",,7.833333,123.483333
USA,PAH,Paducah,Paducah,37.060278,-88.773056
Kampuchea,PAI,Pailin,,12.85,102.583333
Pakistan,PAJ,Parachinar,,33.913889,70.083333
USA,PAK,"Port Allen, Kauai Island,",Hanapepe,21.916667,-159.583333
Colombia,PAL,"Palanquero, CN",,5.483333,-74.65
USA,PAM,Panama City,Panama City,30.07,-85.576389
Thailand,PAN,Pattani,,6.783333,101.166667
USA,PAO,"Palo Alto, CA",,37.466667,-122.116667
Haiti,PAP,Port Au Prince,Port Au Prince,18.583333,-72.3
USA,PAQ,"Municipal, AK",Palmer,61.6,-149.116667
France,PAR,Paris,Parijs,,
Greece,PAS,Paros,Paros,37.066667,25.133333
India,PAT,Patna,,25.590278,85.089722
Myanmar,PAU,Pauk,,21.45,94.516667
Brazil,PAV,"Paulo Afonso, BA",,-9.383333,-38.233333
Papua New Guin,PAW,Pambwa,,-10.583333,151.083333
Haiti,PAX,Port-de-Paix,,19.933333,-72.841667
Malaysia,PAY,PAMOL,Pamol,6.0,117.4
Mexico,PAZ,Tajin,Poza Rica,20.55,-97.05
USA,PBA,"Point Barrow, AK",Barrow,71.333333,-156.633333
Brazil,PBB,"Paranaiba, MS",,-19.666667,-51.183333
Mexico,PBC,Huejotsingo,Puebla,19.158056,-98.371389
India,PBD,Porbandar,,21.65,69.65
Colombia,PBE,"Puerto Berrio, AN",,6.483333,-74.483333
USA,PBF,"Grider Field, AR",Pine Bluff,34.183333,-91.933333
USA,PBG,"Plattsburgh AFB, NY",Plattsburg,44.650833,73.468056
Bhutan,PBH,PARO,Paro,27.403056,89.425
USA,PBI,West Palm Beach,West Palm Beach,26.683056,-80.095556
Vanuatu,PBJ,Tavie,Paama,-20.95,165.4
USA,PBK,"Pack Creek, AK",,-34.2,150.616667
Venezuela,PBL,Bartolome Salom Int,Puerto Cabello,10.466667,-68.1
Surinam,PBM,Paramaribo,Paramaribo,5.452778,-55.187778
Angola,PBN,Porto Amboim,,-10.7,13.75
Australia,PBO,"Paraburdoo, WA",,-23.233333,117.516667
Costa Rica,PBP,Punta Islita,,10.95,-85.85
Brazil,PBQ,"Pimenta Bueno, RO",,-11.634722,-61.168889
Guatemala,PBR,Puerto Barrios,,15.8,-88.5
Thailand,PBS,Patong Beach,,7.9,98.283333
Myanmar,PBU,Putao,,27.333333,97.416667
Brazil,PBV,"Porto dos Gauchos, MT",,-21.35,-51.866667
Indonesia,PBW,Palibelo,,9.533333,-0.216667
Brazil,PBX,"Porto Allegre do Norte, MT",,-10.860556,-51.684444
South Africa,PBZ,Plettenberg Bay,,-34.090278,23.327778
USA,PCA,"Portage Creek, AK",,60.833333,-150.0
Indonesia,PCB,Pondok Cabe,,-6.336944,106.764444
Colombia,PCC,Puerto Rico,,1.916667,-75.166667
USA,PCD,"Municipal, WI",Prairie du Chien,43.016667,-91.116667
USA,PCE,"Painter Creek, AK",,47.8,10.216667
Guatemala,PCG,Paso Caballos,Paso Caballos,17.266667,-90.258333
Honduras,PCH,Palacios,,15.0,-89.0
USA,PCK,"Porcupine Creek, AK",,67.25,-150.283333
Peru,PCL,Capitan Rolden,Pucallpa,-8.366667,-74.583333
Mexico,PCM,Playa del Carmen,,20.55,-87.116667
New Zealand,PCN,Koromiko,Picton,-41.35,174.033333
Mexico,PCO,Punta Colorado,,23.583333,-109.5
Sao Tome and P,PCP,Principe,,1.666667,7.416667
Colombia,PCR,"Puerto Carreno, VI",,6.183333,-67.633333
Brazil,PCS,"Picos, PI",,-7.083333,-41.466667
USA,PCT,"Princeton, NJ",,40.35,-74.666667
USA,PCU,"Pearl River County, MS",Picayune,30.516667,-89.705556
Mexico,PCV,Punta Chivato,,27.083333,-112.0
Colombia,PDA,Puerto Inirida,,4.016667,-67.716667
USA,PDB,"Pedro Bay, AK",,59.783333,-154.116667
New Caledonia,PDC,Nickel,Mueo,-21.35,165.0
Australia,PDE,"Pandie Pandie, SA",,-26.133333,139.383333
Brazil,PDF,"Prado, BA",,-17.35,-39.216667
Indonesia,PDG,Padang,Padang,-0.786944,100.280556
Papua New Guin,PDI,Pindiu,,-6.5,147.583333
USA,PDK,"De Kalb-Peachtree, GA",Atlanta,33.875556,-84.301944
Portugal,PDL,Ponta Delgada,Ponta Delgada,37.741111,-25.697778
Australia,PDN,"Parndana, SA",,-35.8,137.216667
Indonesia,PDO,Pendope,,-3.283333,103.833333
Uruguay,PDP,Punta Del Este,Punta Del Este,-34.858333,-55.091667
Brazil,PDR,"Municipal, MA",Presidente Dutra,,
Mexico,PDS,Int'l,Piedras Negras,28.7,-100.55
USA,PDT,"Municipal, OR",Pendleton,45.7,-118.833333
Uruguay,PDU,Tydeo Larre Borges Int'l,Paysandu,-32.366667,-58.05
Bulgaria,PDV,Plovdiv,Plovdiv,42.067778,24.850833
USA,PDX,Portland,Portland,45.588611,-122.5975
Venezuela,PDZ,Pedernales,,9.966667,-62.233333
Australia,PEA,"Penneshaw, SA",,-35.733333,137.933333
Mozambique,PEB,Pebane,,-17.25,38.183333
USA,PEC,"SPB, AK",Pelican,57.95,-136.233333
Czech Republic,PED,Pardubice,Pardubice,50.013333,15.738611
Russia,PEE,PERM,PERM,58.0,56.25
Germany,PEF,Peenemunde,,54.15,13.766667
Italy,PEG,Perugia,Perugia,43.095833,12.513333
Argentina,PEH,"Comodoro P.Zanni, BA",Pehuojo,-35.8,-61.883333
Colombia,PEI,"Matecania, RI",Pereira,4.8,-75.75
China,PEK,Beijing,Beijing,40.063333,116.584444
Lesotho,PEL,Pelaneng,,-30.55,27.916667
Peru,PEM,Padre Aldamiz,Puerto Maldonado,-12.583333,-69.233333
Malaysia,PEN,Penang,Penang,5.3,100.266667
Australia,PEP,"Peppimenarti, NT",,-14.15,130.1
USA,PEQ,"Pecos City, TX",,31.4,-103.516667
Australia,PER,Perth,Perth,-31.940278,115.966944
Russia (CIS),PES,Petrozavodsk,,61.783333,34.333333
Brazil,PET,Bartolomeu de Gusmao Int'l,Pelotas,-31.716667,-52.316667
Honduras,PEU,Puerto Lempira,,15.273056,-83.780833
,PEV,P�cs-Pog�ny Int.Airp,Pog�ny,,
Pakistan,PEW,PESHAWAR,Peshawar,34.033333,71.616667
Russia (CIS),PEX,Pechora,,65.116667,57.133333
Australia,PEY,"Penong, SA",,-31.916667,133.016667
Russia (CIS),PEZ,Penza,,53.216667,45.0
USA,PFA,"Paf Warren, AK",,58.681389,-156.8375
Brazil,PFB,"Lauro Kurtz, RS",Passo Fundo,-28.25,-52.333333
USA,PFC,"State, OR",Pacific City,45.199722,-123.962222
USA,PFD,"Port Frederick, AK",,57.95,-135.65
Iceland,PFJ,Patreksfjordur,,65.6,-23.983333
USA,PFN,"Bay County, FL",Panama City,30.216667,-85.683333
Cyprus,PFO,Paphos,Paphos,34.718056,32.485833
Congo (the Democratic Republic of the),PFR,Ilebo,,-4.316667,20.566667
USA,PGA,"Page, AZ",,36.933333,-111.45
Papua New Guin,PGB,Pangoa,,-7.016667,141.55
USA,PGC,"Grant County, WV",Petersburg,39.0,-79.116667
USA,PGD,"Charlotte County, FL",Punta Gorda,26.916667,-81.983333
Papua New Guin,PGE,Yegepa,,-7.133333,146.15
France,PGF,Perpignan,Perpignan,42.740833,2.869722
Brazil,PGG,"Progresso, PA",,-6.95,-55.45
India,PGH,Pantnagar,,29.031944,79.473611
Angola,PGI,Chitato,,-7.35,20.95
Indonesia,PGK,Pangkal Pinang,,2.166667,106.133333
USA,PGL,"Jackson County, MS",Pascagoula,,
USA,PGM,"Port Graham, AK",,59.35,-151.833333
Papua New Guin,PGN,Pangia,,-6.35,144.116667
USA,PGO,"Stevens Field, CO",Pagosa Springs,,
Sao Tome and P,PGP,Porto Alegre,,0.033333,6.533333
USA,PGR,"Municipal, AR",Paragould,36.05,-90.5
USA,PGS,"Peach Springs, AZ",,35.533333,-113.416667
USA,PGV,Greenville,Greenville,35.633333,-77.4
France,PGX,PERIGUEUX,Perigueux,45.1975,0.815278
Brazil,PGZ,"Ponta Grossa, PR",,,
Vietnam,PHA,Phan Rang,,11.616667,108.95
Brazil,PHB,"Santos Dumont, PI",Parnaiba,-2.9,-41.766667
Nigeria,PHC,Portharcourt,Port Harcourt,5.015556,6.949722
USA,PHD,"Harry Clever, OH",New Philadelphia,40.466667,-81.433333
Australia,PHE,"Port Hedland, WA",,-20.383333,118.45
USA,PHF,Newport News,Newport News,37.133333,-76.5
Vietnam,PHH,Phanthiet,,10.9,108.066667
Brazil,PHI,"Pinheiro, MA",,-2.516667,-45.083333
Australia,PHJ,"Port Hunter, NS",,-32.916667,151.766667
USA,PHK,"Palm Beach County Glades,",Pahokee,26.816667,-80.65
USA,PHL,Philadelphia,Philadelphia,39.871944,-75.241111
Germany,PHM,B�blingen,,48.683333,9.016667
USA,PHN,Saint Clair County Int',Port Huron,42.9,-82.533333
USA,PHO,"Point Hope, AK",,68.35,-166.8
USA,PHP,"Philip, SD",,44.033333,-101.65
Fiji,PHR,Pacific Harbour,Deumba,-18.183333,178.233333
Thailand,PHS,Sarit Sena,Phitsanulok,16.783333,100.266667
USA,PHT,"Henry County, TN",Paris,36.333333,-88.383333
Vietnam,PHU,Phu Vinh,,11.298611,106.804167
South Africa,PHW,Hendrik van Eck,Phalaborwa,-23.937222,31.155278
USA,PHX,Phoenix,Phoenix,33.433333,-112.033333
Thailand,PHZ,Phi Phi Island,,8.166667,98.283333
USA,PIA,Peoria,Peoria,40.666667,-89.683333
USA,PIB,Pine Belt Regio,Laurel-Hattiesburg,31.467222,-89.336944
Turks & Caicos,PIC,Pine Cay,,21.916667,-71.983333
Cook Islands,PID,Nassau,,25.083333,-77.3
USA,PIE,St.Petersburg,St.Petersburg,27.910556,-82.6875
Taiwan,PIF,Pingtung,,24.9175,117.690278
Brazil,PIG,"Pitinga, AM",,0.783611,-60.078611
USA,PIH,Pocatello,Pocatello,42.916667,-112.583333
USA,PII,"Phillips Field, AK",Fairbanks,64.85,-147.783333
United Kingdom of Great Britain and Northern Ireland,PIK,Prestwick,Glasgow,55.509444,-4.586667
Paraguay,PIL,Pilar,,-26.85,-58.316667
USA,PIM,Callaway Gardens-Har,Pine Mountain,32.833333,-84.85
Brazil,PIN,"Parintins, AM",,-2.633333,-56.733333
Peru,PIO,Pisco,,-13.745,-76.220278
USA,PIP,"Pilot Point, AK",,57.580278,-157.571944
Guyana,PIQ,Pipillipai,,5.333333,-60.333333
USA,PIR,"Municipal, SD",Pierre,44.383333,-100.283333
France,PIS,Poitiers,Poitiers,46.583333,0.3
USA,PIT,Pittsburgh,Pittsburgh,40.491389,-80.232778
Peru,PIU,Capitan Concha,Piura,-5.2,-80.616667
Brazil,PIV,"Pirapora, MG",,-23.4,-47.0
Canada,PIW,"Pikwitonei, MN",,55.583333,-97.15
Portugal,PIX,Pico Island,Pico Island,38.466667,-28.333333
USA,PIZ,"LRRS, AK",Point Lay,69.733333,-163.016667
USA,PJB,"Payson, AZ",,34.261111,-111.341667
Paraguay,PJC,Pedro Juan Caballero,,-22.545,-55.745
Pakistan,PJG,Panjgur,,26.95,64.133333
Costa Rica,PJM,Puerto Jimenez,,8.55,-83.316667
USA,PJS,"Port San Juan, AK",,60.05,-148.066667
Mexico,PJZ,Puerto Juarez,,21.133333,-86.866667
USA,PKA,"SPB, AK",Napaskiak,60.7,-161.7
USA,PKB,Parkersburg,Parkersburg,39.35,-81.433333
Russia (CIS),PKC,Kamchatsky/Yelizovo,Petropavlovsk,53.016667,158.65
USA,PKD,"Park Rapids, MN",,46.9,-95.066667
Australia,PKE,"Parkes, NS",,-33.133333,148.233333
USA,PKF,"Park Falls, WI",,45.933333,-90.433333
Malaysia,PKG,Pangkor,,,
Greece,PKH,Alexion,Porto Cheli,37.3,23.15
Guatemala,PKJ,Playa Grande,,15.083333,-89.183333
Myanmar,PKK,Pakokku,,21.333333,95.1
New Zealand,PKL,Pakatoa Island,,-36.35,174.15
Guyana,PKM,Port Kaituma,,8.333333,-59.633333
Indonesia,PKN,Iskandar,Pangkalan Bun,-2.7,111.666667
Benin,PKO,Parakou,,9.35,2.616667
French Polynes,PKP,"Puka Puka, TU",,-15.0,-139.0
Nepal,PKR,Pokhara,,28.233333,83.866667
Laos,PKS,Paksane,,18.366667,103.65
Australia,PKT,"Port Keats, NT",,-14.25,129.533333
Indonesia,PKU,Simpang Tiga,Pekanbaru,0.460833,101.444444
Russia,PKV,Pskov,Pskov,57.783889,28.395556
Botswana,PKW,Selebi-Phikwe,,-22.883333,26.916667
China,PKX,Beijing Daxing,Beijing,,
Indonesia,PKY,Tjilik Riwut,Palangkaraya,-2.216667,113.933333
Laos,PKZ,Pakse,,15.133333,105.783333
Colombia,PLA,Planadas,,3.3,-75.7
USA,PLB,"Clinton County, NY",Plattsburgh,44.683333,-73.516667
Colombia,PLC,Planeta Rica,,8.4,-75.6
Costa Rica,PLD,Playa Samara,,10.25,-85.416667
Papua New Guin,PLE,Paiela,,,
Chad,PLF,Pala,,9.383333,14.933333
France,PLG,La Plagne,,44.633333,2.566667
United Kingdom of Great Britain and Northern Ireland,PLH,Plymouth,Plymouth,50.416667,-4.116667
Saint Vincent,PLI,Palm Island,,12.583333,-61.383333
Belize,PLJ,Placencia,,16.516667,-88.366667
USA,PLK,M. Graham Cl,Branson-Point Lookou,36.616667,-93.216667
Brazil,PLL,"Ponta Pelada, AM",Manaus,-3.146111,-59.986389
Indonesia,PLM,Palembang,Palembang,-2.9,104.7
USA,PLN,Pellston,Pellston,45.566667,-84.8
Australia,PLO,"Port Lincoln, SA",,-34.6,135.883333
Panama,PLP,La Palma,,8.366667,-78.133333
Lithuania,PLQ,Palanga,Palanga,55.916667,21.05
USA,PLR,"St Clair County, AL",Pell City,33.583333,-86.283333
Turks & Caicos,PLS,Int'l,Providenciales,21.766667,-72.266667
Colombia,PLT,"Plato, MA",,9.8,-74.783333
Brazil,PLU,"Pampulha, MG",Belo Horizonte,-19.755556,-43.75
Ukraine,PLV,Poltava,,49.583333,34.533333
Indonesia,PLW,Mutiari,Palu,-0.833333,119.841667
Kazakstan,PLX,Semipalatinsk,,50.333333,80.25
USA,PLY,"Plymouth, IN",,41.366667,-86.3
South Africa,PLZ,Port Elizabeth,Port Elizabeth,-33.983333,25.616667
Tanzania,PMA,Wawi,Pemba,-5.233333,39.8
USA,PMB,"Pembina, ND",Pembina,48.95,-97.233333
Chili,PMC,Puerto Montt,Puerto Montt,-41.483333,-72.85
USA,PMD,"Air Force Plant No.42, CA",Palmdale,34.629444,-118.084444
United Kingdom of Great Britain and Northern Ireland,PME,Portsmouth,Portsmouth,50.833333,-1.05
Italy,PMF,Parma,Parma,44.8,10.333333
Brazil,PMG,"Int'l, MS",Ponta Pora,-22.533333,-55.733333
USA,PMH,"Regional, OH",Portsmouth,38.840556,-82.847222
Spain,PMI,Palma,Palma Mallorca,39.55,2.733333
Australia,PMK,"Palm Island, QL",,-18.083333,146.683333
USA,PML,"Municipal, AK",Port Moller,55.983333,-160.533333
Thailand,PMM,Phanom Sarakham,,13.75,101.4
